iter	Passed	Remaining
0	0	756
1	1	718
2	2	706
3	2	687
4	3	668
5	3	653
6	4	634
7	5	625
8	5	620
9	6	616
10	6	613
11	7	611
12	8	609
13	9	638
14	9	639
15	10	641
16	11	637
17	11	641
18	12	638
19	12	634
20	13	634
21	14	632
22	14	630
23	15	628
24	16	627
25	16	628
26	17	627
27	17	623
28	18	620
29	19	617
30	19	613
31	20	609
32	20	606
33	21	603
34	21	600
35	22	599
36	23	601
37	24	608
38	24	606
39	25	605
40	25	604
41	26	605
42	27	603
43	27	601
44	28	601
45	28	599
46	29	599
47	30	599
48	30	599
49	31	598
50	32	596
51	32	595
52	33	593
53	33	591
54	34	588
55	34	586
56	35	584
57	35	583
58	36	582
59	37	582
60	37	582
61	38	584
62	39	583
63	39	582
64	40	581
65	41	581
66	41	581
67	42	580
68	42	579
69	43	577
70	44	576
71	44	575
72	45	575
73	45	574
74	46	574
75	47	573
76	47	572
77	48	571
78	48	570
79	49	568
80	49	567
81	50	565
82	50	561
83	51	561
84	52	560
85	52	559
86	53	558
87	53	558
88	54	558
89	55	557
90	55	556
91	56	556
92	56	555
93	57	554
94	58	554
95	58	553
96	59	552
97	59	551
98	60	550
99	61	549
100	61	548
101	62	547
102	62	546
103	63	545
104	63	544
105	64	543
106	65	543
107	65	542
108	66	541
109	66	540
110	67	539
111	68	539
112	68	538
113	69	537
114	69	536
115	70	537
116	71	538
117	71	537
118	72	536
119	73	536
120	73	535
121	74	533
122	75	535
123	75	536
124	76	535
125	77	535
126	77	535
127	78	535
128	79	534
129	79	533
130	80	531
131	80	531
132	81	530
133	81	529
134	82	527
135	83	528
136	83	527
137	84	526
138	85	528
139	86	528
140	87	530
141	87	528
142	88	528
143	88	528
144	89	527
145	90	526
146	90	525
147	91	525
148	91	524
149	92	523
150	92	522
151	93	521
152	94	521
153	94	520
154	95	519
155	95	518
156	96	517
157	96	516
158	97	516
159	98	517
160	99	516
161	99	517
162	100	516
163	101	516
164	101	516
165	102	515
166	103	514
167	103	513
168	104	512
169	104	511
170	105	510
171	105	510
172	106	509
173	107	508
174	107	508
175	108	507
176	108	506
177	109	505
178	110	504
179	110	503
180	111	502
181	111	502
182	112	503
183	113	502
184	113	501
185	114	501
186	115	500
187	116	501
188	116	500
189	117	499
190	117	499
191	118	498
192	119	497
193	119	497
194	120	496
195	121	496
196	121	495
197	122	494
198	122	493
199	123	493
200	123	492
201	124	491
202	125	490
203	125	490
204	126	489
205	127	490
206	127	489
207	128	488
208	128	488
209	129	487
210	130	488
211	131	487
212	131	487
213	132	486
214	133	485
215	133	486
216	134	485
217	135	484
218	135	483
219	136	483
220	136	482
221	137	481
222	137	480
223	138	479
224	138	478
225	139	477
226	139	476
227	140	475
228	141	476
229	142	475
230	142	474
231	143	474
232	143	473
233	144	473
234	145	472
235	145	471
236	146	471
237	147	470
238	147	470
239	148	469
240	148	468
241	149	468
242	150	467
243	150	466
244	151	465
245	151	464
246	152	464
247	152	463
248	153	462
